species,fat,protein,lactose,ash,tot_solids
Antelope,1.3,6.9,4,1.3,25.2
Donkey,1.2,1.7,6.9,0.45,10.2
Polar Bear,31,10.2,0.5,1.2,42.9
Bison,1.7,4.8,5.7,0.96,13.2
Buffalo Philippine,10.4,5.9,4.3,0.8,21.5
Camel,4.9,3.7,5.1,0.7,14.4
Cat,10.9,11.1,3.4,0,25.4
Cow Ayrshire,4.1,3.6,4.7,0.7,13.1
Cow Brown Swiss ,4,3.6,5,0.7,13.3
Cow Guernsey,5,3.8,4.9,0.7,14.4
Cow Holstein,3.5,3.1,4.9,0.7,12.2
Cow Jersey,5.5,3.9,4.9,0.7,15
Zebu,4.9,3.9,5.1,0.8,14.7
Deer,19.7,10.4,2.6,1.4,34.1
Dog,8.3,9.5,3.7,1.2,20.7
Dolphin,14.1,10.4,5.9,0,30.4
Elephant,15.1,4.9,3.4,0.76,26.9
Goat,3.5,3.1,4.6,0.79,12
Guinea Pig,3.9,8.1,3,0.82,15.8
Horse,1.6,2.7,6.1,0.51,11
Human,4.5,1.1,6.8,0.2,12.6
Kangaroo,2.1,6.2,0,1.2,9.5
Mink,8,7,6.9,0.7,22.6
Monkey,3.9,2.1,5.9,2.6,14.5
Opossum,6.1,9.2,3.2,1.6,24.5
Pig,8.2,5.8,4.8,0.63,19.9
Rabbit,12.2,10.4,1.8,2,26.4
Rat,14.8,11.3,2.9,1.5,31.7
Reindeer,22.5,10.3,2.5,1.4,36.7
Seal Gray,53.2,11.2,2.6,0.7,67.7
Sheep,5.3,5.5,4.6,0.9,16.3
Whale,34.8,13.6,1.8,1.6,51.2
